sweep,param_name,param,beta,theta,g,ed_p00,ed_p11,ed_coh,analytic_disc_p00,analytic_disc_p11,analytic_disc_coh,analytic_cont_p00,analytic_cont_p11,analytic_cont_coh
coupling,g,1.1955039638327578,2.0,0.7853981633974483,1.1955039638327578,0.256803845204936,0.7431961547950652,0.18426903184136917,0.26440700082792434,0.7355929991720757,0.20128079295288825,0.2880241014647521,0.7119758985352479,0.23518544022530213
coupling,g,1.3382295400150315,2.0,0.7853981633974483,1.3382295400150315,0.2632056684880015,0.7367943315119986,0.19194772795400172,0.2745540107824861,0.7254459892175139,0.21534650120676258,0.2950452582816132,0.7049547417183868,0.2449666410338504
coupling,g,1.497994449158824,2.0,0.7853981633974483,1.497994449158824,0.26807688481619046,0.7319231151838095,0.19758523402555095,0.28353431509322663,0.7164656849067734,0.22779493094434225,0.30098370274063535,0.6990162972593646,0.25323951105501497
coupling,g,1.6768329368110082,2.0,0.7853981633974483,1.6768329368110082,0.27174998925784927,0.7282500107421512,0.20169118851132817,0.2913264525918866,0.7086735474081134,0.23859633285692766,0.30594729182847713,0.6940527081715229,0.2601543062754705
coupling,g,1.8770221074938798,2.0,0.7853981633974483,1.8770221074938798,0.2745429048095033,0.7254570951904974,0.20472502806773954,0.2979769021671411,0.7020230978328589,0.2478151356275485,0.3100567552639348,0.6899432447360652,0.26587921573498696
coupling,g,2.1011109184920898,2.0,0.7853981633974483,2.1011109184920898,0.27669600684371154,0.7233039931562882,0.20701538396511676,0.3035765777809645,0.6964234222190355,0.25557736350089005,0.31343331788741335,0.6865666821125866,0.27058311822916997
coupling,g,2.3519526350709588,2.0,0.7853981633974483,2.3519526350709588,0.2783739293270985,0.7216260706729001,0.20877414001070077,0.3082400917845024,0.6917599082154976,0.26204189124900096,0.3161909924141535,0.6838090075858465,0.2744248453140697
coupling,g,2.632741160370135,2.0,0.7853981633974483,2.632741160370135,0.27968805794154045,0.7203119420584603,0.2101369935194184,0.31208996171338055,0.6879100382866195,0.2673785517507105,0.318432467675477,0.6815675323245229,0.2775474531991048
coupling,g,2.9470517025518097,2.0,0.7853981633974483,2.9470517025518097,0.2807084252884282,0.7192915747115716,0.21118689032097446,0.31524596313871256,0.6847540368612874,0.271753376994434,0.3202474852723256,0.6797525147276744,0.28007596125680706
coupling,g,3.298886297007827,2.0,0.7853981633974483,3.298886297007827,0.2814700194674167,0.7185299805325838,0.2119659839284935,0.3178188121842571,0.6821811878157429,0.2753198408313616,0.3217127862076562,0.6782872137923438,0.2821172776762042
coupling,g,3.692724763248259,2.0,0.7853981633974483,3.692724763248259,0.2820113246852852,0.7179886753147152,0.21251739605716433,0.31990704761078426,0.6800929523892157,0.2782145369444497,0.32289295206989654,0.6771070479301035,0.2837613713187569
coupling,g,4.1335817452924335,2.0,0.7853981633974483,4.1335817452924335,0.2824005275805462,0.7175994724194532,0.21291266447370433,0.32159605482677023,0.6784039451732298,0.2805558259394473,0.32384168406787883,0.6761583159321212,0.285083053546887
coupling,g,4.6270705618430465,2.0,0.7853981633974483,4.6270705618430465,0.2826991392293053,0.7173008607706951,0.2132152570906249,0.32295839658533065,0.6770416034146693,0.2824442937544776,0.3246032321398032,0.6753967678601969,0.28614396912122186
coupling,g,5.17947467923121,2.0,0.7853981633974483,5.17947467923121,0.28294238791122167,0.7170576120887783,0.21346132740271748,0.3240548557224725,0.6759451442775275,0.28396419709589465,0.3252138055607587,0.6747861944392413,0.2869945613234052
coupling,g,5.797827717179135,2.0,0.7853981633974483,5.797827717179135,0.2831480620181539,0.7168519379818457,0.21366909831247766,0.3249357980323701,0.6750642019676298,0.2851853526456577,0.3257028753876499,0.6742971246123501,0.28767588639717895
coupling,g,6.490003006073211,2.0,0.7853981633974483,6.490003006073211,0.283325701742804,0.7166742982571962,0.2138483390005968,0.32564261434178654,0.6743573856582135,0.28616513605395744,0.3260943286059018,0.6739056713940982,0.28822122139463674
coupling,g,7.264813836057267,2.0,0.7853981633974483,7.264813836057267,0.28348102800583463,0.7165189719941657,0.21400490713321013,0.32620910479656606,0.6737908952034339,0.28695040082665546,0.3264074632910072,0.6735925367089928,0.28865745053963776
