sweep,param_name,param,beta,theta,g,variant,k_value,ordered_p00,ordered_coh,ordered_ratio,model_p00,model_coh,model_ratio,dp00,dcoh,ratio_rel_err
coupling,g,0.9,2.0,0.7853981633974483,0.9,delta_only,1.0950000000000002,0.14845621517109192,0.2676930406150363,0.1743377355527522,0.14926489308187213,0.29115005845908437,0.17545401837547173,0.0008086779107802089,0.023457017844048078,0.006402990260142349
coupling,g,1.0,2.0,0.7853981633974483,1.0,baseline,1.0,0.15264871163127142,0.2738770862599036,0.18014808465700433,0.13123044138247336,0.27501278103228566,0.1510532224348427,-0.021418270248798055,0.0011356947723820676,-0.16150525428875484
coupling,g,1.0,2.0,0.7853981633974483,1.0,chi_only,0.9450000000000002,0.15264871163127142,0.2738770862599036,0.18014808465700433,0.1544203104882116,0.33132920717208086,0.18262064759073046,0.0017715988569401708,0.057452120912177274,0.013725169148669059
coupling,g,1.0,2.0,0.7853981633974483,1.0,delta_only,1.0950000000000002,0.15264871163127142,0.2738770862599036,0.18014808465700433,0.1523759976378078,0.2980498707652951,0.179768384582268,-0.0002727139934636247,0.02417278450539151,-0.0021077108616462947
coupling,g,1.1,2.0,0.7853981633974483,1.1,baseline,1.0,0.15597252413081664,0.2785292926779147,0.18479555297675043,0.13323912396338217,0.2798908518696089,0.15372074080297232,-0.02273340016743447,0.0013615591916941727,-0.16815779207461612
coupling,g,1.1,2.0,0.7853981633974483,1.1,chi_only,0.9450000000000002,0.15597252413081664,0.2785292926779147,0.18479555297675043,0.1576209864080922,0.3391020250442945,0.18711409456415065,0.001648462277275553,0.06057273236637978,0.012546522630292545
coupling,g,1.1,2.0,0.7853981633974483,1.1,delta_only,1.0950000000000002,0.15597252413081664,0.2785292926779147,0.18479555297675043,0.15468166051761467,0.30316337332557153,0.18298628255519814,-0.0012908636132019646,0.02463408064765682,-0.009790659961281256
coupling,g,1.2000000000000002,2.0,0.7853981633974483,1.2000000000000002,baseline,1.0,0.15870551189639676,0.28219874553336727,0.1886444213537419,0.13477218161810034,0.2836138710805551,0.15576496589088373,-0.023933330278296416,0.0014151255471878121,-0.17429328271098632
coupling,g,1.2000000000000002,2.0,0.7853981633974483,1.2000000000000002,chi_only,0.9450000000000002,0.15870551189639676,0.28219874553336727,0.1886444213537419,0.1600945142087169,0.3451089690703021,0.19061015425788094,0.0013890023123201423,0.06291022353693482,0.010420307635034431
coupling,g,1.2000000000000002,2.0,0.7853981633974483,1.2000000000000002,delta_only,1.0950000000000002,0.15870551189639676,0.28219874553336727,0.1886444213537419,0.15643385012565442,0.3070493820414471,0.18544348910747094,-0.002271661770742339,0.024850636508079837,-0.01696807264853406
coupling,g,1.3,2.0,0.7853981633974483,1.3,baseline,1.0,0.16101317158252257,0.2851984734313641,0.19191382525781783,0.13596708930902696,0.28651569559767953,0.15736332219138868,-0.025046082273495612,0.0013172221663154127,-0.180031339691207
coupling,g,1.3,2.0,0.7853981633974483,1.3,chi_only,0.9450000000000002,0.16101317158252257,0.2851984734313641,0.19191382525781783,0.16204144175361274,0.34983706825799926,0.19337643867820875,0.0010282701710901676,0.06463859482663514,0.007621198829349751
coupling,g,1.3,2.0,0.7853981633974483,1.3,delta_only,1.0950000000000002,0.16101317158252257,0.2851984734313641,0.19191382525781783,0.15779484646505593,0.3100678017449556,0.1873591556674188,-0.0032183251174666416,0.024869328313591454,-0.02373288940637963
coupling,g,1.4000000000000001,2.0,0.7853981633974483,1.4000000000000001,baseline,1.0,0.162999041883211,0.28771552436849174,0.19474176260198175,0.13691566668508254,0.2888193087613819,0.15863532843797493,-0.02608337519812845,0.0011037843928901614,-0.18540673393103713
