key,status,error,timestamp,elapsed_s,beta,omega_q,theta,g,omega_min,omega_max,n_modes,n_cut,ordered_p00,ordered_coh,analytic_cont_p00,analytic_cont_coh,analytic_disc_p00,analytic_disc_coh,ed_p00,ed_coh,d_ed_ordered_p00,d_ed_cont_p00,d_ed_disc_p00,d_ed_ordered_coh,d_ed_cont_coh,d_ed_disc_coh
8.23750000|8,ok,,2026-02-20 11:55:01,0.5951232000006712,8.2375,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.2348406130613933,7.140620013767063e-19,0.35628833412426697,9.442367848337935e-17,0.36336872458028585,1.045740083533748e-16,0.3217512912080718,1.0082836316484993e-16,0.08691067814667847,-0.03453704291619519,-0.041617433372214074,1.0011430116347322e-16,6.4046846814705735e-18,-3.74564518852487e-18
8.82500000|8,ok,,2026-02-20 11:55:02,0.5908577000009245,8.825,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.23351442403642175,2.7648264857725704e-17,0.35590169826478957,9.701282804784932e-17,0.3604448753854378,1.082762896925177e-16,0.32234846788953936,1.024757071724353e-16,0.0888340438531176,-0.03355323037525021,-0.03809640749589843,7.48274423147096e-17,5.462879124585972e-18,-5.8005825200823986e-18
9.41250000|8,ok,,2026-02-20 11:55:02,0.5915081000057398,9.4125,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.23270385441565258,2.598158044865964e-17,0.3530126982799844,9.834644306898121e-17,0.3558691657697027,1.1084351291690658e-16,0.3228996642763877,1.0380056800998143e-16,0.09019580986073514,-0.03011303400359666,-0.03296950149331496,7.781898756132179e-17,5.454124941000222e-18,-7.042944906925148e-18
10.00000000|8,ok,,2026-02-20 11:55:03,0.5896989000029862,10.0,1.0,1.5707963267948966,0.5,0.2,1.8,3,8,0.23238239127735477,2.752983747453254e-18,0.3483839536000921,9.87183398311614e-17,0.3501516689830547,1.1247337847465748e-16,0.32340721126938154,1.0485158650852598e-16,0.09102481999202677,-0.024976742330710566,-0.026744457713673175,1.0209860276107273e-16,6.133246677364577e-18,-7.621791966131503e-18
0.60000000|9,ok,,2026-02-20 11:55:04,1.4341015000027255,0.6,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.3875258706128541,3.603038842269087e-18,0.38268212838759436,1.7976143567132074e-18,0.392896938869074,2.4455782082205422e-18,0.3867256193540873,2.9576053870872086e-18,-0.0008002512587668154,0.004043490966492924,-0.006171319514986728,-6.454334551818787e-19,1.1599910303740012e-18,5.120271788666664e-19
1.18750000|9,ok,,2026-02-20 11:55:05,1.4244044000006397,1.1875,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.3306654583524356,2.2105796893250305e-17,0.3133858716823269,5.563158376707611e-18,0.3372932208935022,7.232366771025638e-18,0.34059290055607006,6.681913558635311e-18,0.009927442203634451,0.027207028873743155,0.0032996796625678337,-1.5423883334614995e-17,1.1187551819277e-18,-5.504532123903272e-19
1.77500000|9,ok,,2026-02-20 11:55:07,1.4148881000000983,1.775,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.3012130823410807,4.694839690666928e-18,0.27198411074647777,1.019799248475258e-17,0.3065770987233778,1.2974994169727008e-17,0.32466372876912236,2.4518591861492378e-17,0.023450646428041677,0.05267961802264459,0.018086630045744567,1.982375217082545e-17,1.4320599376739797e-17,1.154359769176537e-17
2.36250000|9,ok,,2026-02-20 11:55:08,1.4233731999993324,2.3625000000000003,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.2846037740205399,4.207378073791339e-19,0.24959719854383494,1.5447894505341032e-17,0.29169450825995685,1.943008756026302e-17,0.3197110453497563,4.337067676580015e-17,0.03510727132921643,0.07011384680592136,0.028016537089799454,4.294993895842102e-17,2.792278226045912e-17,2.394058920553713e-17
2.95000000|9,ok,,2026-02-20 11:55:09,1.4170190000004368,2.95,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.27391922987787504,3.8294474375687935e-18,0.2415027821319609,2.1465649099527434e-17,0.28831913595556735,2.673237704652343e-17,0.31847806011117064,6.223216650295372e-17,0.0445588302332956,0.07697527797920972,0.030158924155603284,5.840271906538493e-17,4.0766517403426285e-17,3.549978945643029e-17
3.53750000|9,ok,,2026-02-20 11:55:11,1.4159786000018357,3.5375,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.26608627215108943,7.565983560414363e-18,0.2448139194303957,2.8553159109865595e-17,0.2935739135808109,3.507580221628434e-17,0.31852084920816914,8.168884393829886e-17,0.05243457705707971,0.07370692977777343,0.024946935627358224,7.412286037788449e-17,5.313568482843326e-17,4.661304172201452e-17
4.12500000|9,ok,,2026-02-20 11:55:12,1.4145334999993793,4.125,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.2597662095174385,2.2591978025036506e-17,0.25707834514691663,3.693922891113898e-17,0.30477429023409697,4.4505353815051664e-17,0.3190068024234309,1.0212949051681182e-16,0.05924059290599237,0.06192845727651425,0.014232512189333912,7.953751249177531e-17,6.519026160567284e-17,5.762413670176016e-17
4.71250000|9,ok,,2026-02-20 11:55:14,1.4154120000021067,4.7124999999999995,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.2543821579298529,1.1333744021593488e-17,0.2754459989241644,4.6558886939786726e-17,0.3190808949313224,5.478555507720957e-17,0.31963934585089604,1.2365119933644512e-16,0.06525718792104312,0.04419334692673166,0.0005584509195736276,1.1231745531485163e-16,7.70923123966584e-17,6.886564425923554e-17
5.30000000|9,ok,,2026-02-20 11:55:15,1.4207672999982606,5.3,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.24969217937213253,1.0913138626251826e-18,0.29650300800909635,5.692494534621827e-17,0.3337221877102433,6.53978484965795e-17,0.32030802350510873,1.461773891328018e-16,0.0706158441329762,0.023805015496012383,-0.013414164205134582,1.4508607527017662e-16,8.925244378658352e-17,8.07795406362223e-17
5.88750000|9,ok,,2026-02-20 11:55:16,1.417644699999073,5.8875,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.24560148416207422,2.608647115197329e-18,0.3168144995422377,6.721655346853571e-17,0.34646431850002324,7.568033643828946e-17,0.32097021048285657,1.6955298140678583e-16,0.07536872632078234,0.00415571094061884,-0.025494108017166672,1.669443342915885e-16,1.0233642793825012e-16,9.387264496849637e-17
6.47500000|9,ok,,2026-02-20 11:55:18,1.447678000004089,6.475,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.24207787204250775,1.1606821266487056e-17,0.3337484465229323,7.656447625106973e-17,0.3559538343514629,8.502777052925456e-17,0.3216089791988864,1.936021792117912e-16,0.07953110715637868,-0.01213946732404586,-0.03434485515257646,1.8199535794530414e-16,1.1703770296072146e-16,1.0857440868253663e-16
7.06250000|9,ok,,2026-02-20 11:55:19,1.4297829999995884,7.0625,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.2391126574187376,1.6734514059132634e-17,0.34595501107740967,8.433995790324362e-17,0.36173656291833123,9.303667383421671e-17,0.32221742729302993,2.1815867863308065e-16,0.08310476987429233,-0.023737583784379734,-0.039519135625301294,2.0142416457394803e-16,1.3381872072983703e-16,1.2512200479886395e-16
7.65000000|9,ok,,2026-02-20 11:55:21,1.423736299999291,7.65,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.23670240231167153,2.862468064540775e-17,0.35327144032212215,9.027726488953595e-17,0.3640209913618967,9.954257147912145e-17,0.3227927034804095,2.430786215448764e-16,0.08609030116873798,-0.03047873684171265,-0.04122828788148719,2.1445394089946867e-16,1.5280135665534044e-16,1.4353605006575494e-16
8.23750000|9,ok,,2026-02-20 11:55:22,1.4164834999974119,8.2375,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.2348406130613933,7.140620013767063e-19,0.35628833412426697,9.442367848337935e-17,0.36336872458028585,1.045740083533748e-16,0.3233337170222155,2.682439581852568e-16,0.08849310396082222,-0.03295461710205144,-0.040035007558070324,2.675298961838801e-16,1.7382027970187746e-16,1.6366994983188202e-16
8.82500000|9,ok,,2026-02-20 11:55:24,1.4457035000014002,8.825,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.23351442403642175,2.7648264857725704e-17,0.35590169826478957,9.701282804784932e-17,0.3604448753854378,1.082762896925177e-16,0.32384026122040244,2.935611145134702e-16,0.09032583718398068,-0.03206143704438713,-0.036604614165035354,2.659128496557445e-16,1.965482864656209e-16,1.8528482482095253e-16
9.41250000|9,ok,,2026-02-20 11:55:25,1.435214700002689,9.4125,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.23270385441565258,2.598158044865964e-17,0.3530126982799844,9.834644306898121e-17,0.3558691657697027,1.1084351291690658e-16,0.32431267001629466,3.189577548644798e-16,0.09160881560064207,-0.028700028263689725,-0.03155649575340802,2.9297617441582013e-16,2.2061131179549856e-16,2.081142419475732e-16
10.00000000|9,ok,,2026-02-20 11:55:27,1.4203593999991426,10.0,1.0,1.5707963267948966,0.5,0.2,1.8,3,9,0.23238239127735477,2.752983747453254e-18,0.3483839536000921,9.87183398311614e-17,0.3501516689830547,1.1247337847465748e-16,0.3247516660164123,3.443790819758024e-16,0.09236927473905754,-0.0236322875836798,-0.02540000296664241,3.416260982283491e-16,2.45660742144641e-16,2.319057035011449e-16
0.60000000|10,ok,,2026-02-20 11:55:28,3.333413300002576,0.6,1.0,1.5707963267948966,0.5,0.2,1.8,3,10,0.3875258706128541,3.603038842269087e-18,0.38268212838759436,1.7976143567132074e-18,0.392896938869074,2.4455782082205422e-18,0.3876545740578448,3.982405218825269e-18,0.00012870344499071873,0.004972445670250458,-0.005242364811229194,3.7936637655618195e-19,2.1847908621120618e-18,1.536827010604727e-18
