beta,omega_q,theta,g,omega_min,omega_max,n_modes,n_cut,ordered_p00,ordered_coh,analytic_cont_p00,analytic_cont_coh,analytic_disc_p00,analytic_disc_coh,ed_p00,ed_coh,d_ed_ordered_p00,d_ed_cont_p00,d_ed_disc_p00,d_ed_ordered_coh,d_ed_cont_coh,d_ed_disc_coh
8.2375,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.2348406130613933,7.140620013767063e-19,0.35628833412426697,9.442367848337935e-17,0.3672398382380374,1.150558224984906e-16,0.342927052070149,3.101149851441409e-17,0.1080864390087557,-0.013361282054117962,-0.0243127861678884,3.0297436513037386e-17,-6.341217996896526e-17,-8.40443239840765e-17
8.825,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.23351442403642175,2.7648264857725704e-17,0.35590169826478957,9.701282804784932e-17,0.36291920268314937,1.2032404861903862e-16,0.3437702446199979,2.986706263605206e-17,0.11025582058357614,-0.012131453644791679,-0.019148958063151478,2.2187977783263542e-18,-6.714576541179726e-17,-9.045698598298657e-17
9.4125,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.23270385441565258,2.598158044865964e-17,0.3530126982799844,9.834644306898121e-17,0.3574217653611946,1.2449160107386512e-16,0.3444560627025113,2.909131823003969e-17,0.1117522082868587,-0.008556635577473104,-0.012965702658683298,3.109737781380048e-18,-6.925512483894153e-17,-9.540028284382543e-17
10.0,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.23238239127735477,2.752983747453254e-18,0.3483839536000921,9.87183398311614e-17,0.35111173110380745,1.2767705689972216e-16,0.3450130195321103,2.8655977222122196e-17,0.1126306282547555,-0.0033709340679818345,-0.0060987115716971685,2.590299347466894e-17,-7.006236260903921e-17,-9.902107967759996e-17
0.6,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.3875258706128541,3.603038842269087e-18,0.38268212838759436,1.7976143567132074e-18,0.4021687371179293,3.03372329212719e-18,0.3850135682486451,1.4692653414224306e-17,-0.002512302364209018,0.0023314398610507214,-0.0171551688692842,1.1089614571955218e-17,1.2895039057511099e-17,1.1658930122097116e-17
1.1875,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.3306654583524356,2.2105796893250305e-17,0.3133858716823269,5.563158376707611e-18,0.3570606449310244,8.61254802078983e-18,0.341245033204808,3.904044902723382e-17,0.010579574852372375,0.02785916152248108,-0.015815611726216428,1.6934652133983515e-17,3.3477290650526206e-17,3.042790100644399e-17
1.775,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.3012130823410807,4.694839690666928e-18,0.27198411074647777,1.019799248475258e-17,0.33362236669740797,1.514657776388439e-17,0.3308116120995856,9.373775746984522e-17,0.02959852975850491,0.058827501353107825,-0.0028107545978223736,8.904291777917829e-17,8.353976498509264e-17,7.859117970596082e-17
2.3625000000000003,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.2846037740205399,4.207378073791339e-19,0.24959719854383494,1.5447894505341032e-17,0.3232114615140754,2.2415500917728458e-17,0.331445408614924,1.6851334247796757e-16,0.04684163459438412,0.08184821007108906,0.008233947100848571,1.6809260467058843e-16,1.5306544797262653e-16,1.4609784156023912e-16
2.95,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.27391922987787504,3.8294474375687935e-18,0.2415027821319609,2.1465649099527434e-17,0.3219301584326498,3.0533677659436564e-17,0.3350230098180206,2.5577717989645727e-16,0.06110377994014554,0.09352022768605966,0.013092851385370752,2.5194773245888846e-16,2.3431153079692984e-16,2.252435022370207e-16
3.5375,1.0,1.5707963267948966,0.5,0.2,1.8,2,6,0.26608627215108943,7.565983560414363e-18,0.2448139194303957,2.8553159109865595e-17,0.3270425592881051,3.9623598235421264e-17,0.33904683287920084,3.510956988824677e-16,0.07296056072811141,0.09423291344880513,0.012004273591095738,3.4352971532205334e-16,3.225425397726021e-16,3.114721006470464e-16
