sweep,param_name,param,beta,theta,g,ed_p00,ed_p11,ed_coh,analytic_disc_p00,analytic_disc_p11,analytic_disc_coh,analytic_cont_p00,analytic_cont_p11,analytic_cont_coh,d_disc_p00,d_disc_coh,d_cont_p00,d_cont_coh
coupling,g,2.2,2.0,0.7853981633974483,2.2,0.27449063717832495,0.7255093628216752,0.20468610714194682,0.3055844803083522,0.6944155196916477,0.25836070275835826,0.3146265168277372,0.6853734831722629,0.27224536830337814,-0.031093843130027277,-0.05367459561641144,-0.04013587964941223,-0.06755926116143132
coupling,g,2.3000000000000003,2.0,0.7853981633974483,2.3000000000000003,0.2750451084068926,0.7249548915931077,0.2052777129621565,0.30738496645511143,0.6926150335448886,0.260856523001845,0.31568888684749363,0.6843111131525064,0.27372536010063653,-0.03233985804821882,-0.05557881003968848,-0.04064377844060102,-0.06844764713848003
coupling,g,2.4000000000000004,2.0,0.7853981633974483,2.4000000000000004,0.2755354328859181,0.7244645671140817,0.2057987387513086,0.3089867436265368,0.6910132563734632,0.2630768943705414,0.31662812984546085,0.6833718701545392,0.2750338231660217,-0.03345131074061869,-0.05727815561923277,-0.04109269695954276,-0.0692350844147131
coupling,g,2.5,2.0,0.7853981633974483,2.5,0.2759729428248807,0.7240270571751193,0.20626201004033132,0.31041714697082134,0.6895828530291787,0.26505970863958883,0.31746230113739676,0.6825376988626033,0.2761959104299832,-0.03444420414594063,-0.058797698599257514,-0.041489358312516045,-0.06993390038965189
coupling,g,2.6,2.0,0.7853981633974483,2.6,0.27636636588418695,0.7236336341158127,0.20667732348701762,0.3116991277120703,0.6883008722879297,0.26683678062180244,0.3182063117104095,0.6817936882895905,0.27723239444652636,-0.03533276182788336,-0.06015945713478482,-0.041839945826222524,-0.07055507095950875
coupling,g,2.7,2.0,0.7853981633974483,2.7,0.27672253614533987,0.7232774638546602,0.20705229693741192,0.3128520358824527,0.6871479641175473,0.2684349331850426,0.31887255294625527,0.6811274470537447,0.27816053769766336,-0.036129499737112825,-0.061382636247630656,-0.0421500168009154,-0.07110824076025143
coupling,g,2.8000000000000003,2.0,0.7853981633974483,2.8000000000000003,0.27704688705641817,0.7229531129435818,0.2073929509633167,0.31389225337461063,0.6861077466253893,0.2698768747846655,0.3194713836607062,0.6805286163392938,0.2789947710898452,-0.03684536631819246,-0.06248392382134879,-0.04242449660428804,-0.07160182012652852
coupling,g,2.9000000000000004,2.0,0.7853981633974483,2.9000000000000004,0.27734379875896215,0.7226562012410378,0.20770411400737893,0.3148337067074078,0.6851662932925922,0.27118191025551464,0.3200115124098599,0.6799884875901401,0.2797472265463671,-0.037489907948445644,-0.06347779624813571,-0.042667713650897776,-0.07204311253898815
coupling,g,3.0,2.0,0.7853981633974483,3.0,0.27761684684067434,0.7223831531593257,0.207989709793705,0.31568828334689336,0.6843117166531066,0.2723665179128844,0.3205002995991689,0.6794997004008311,0.28042815787662817,-0.038071436506219025,-0.0643768081191794,-0.04288345275849459,-0.07243844808292316
coupling,g,3.1,2.0,0.7853981633974483,3.1,0.2778689833676408,0.7221310166323591,0.20825296481242309,0.3164661707229647,0.6835338292770353,0.2734448194948465,0.3209439977734986,0.6790560022265014,0.2810462755251448,-0.03859718735532386,-0.06519185468242342,-0.04307501440585776,-0.07279331071272169
coupling,g,3.2,2.0,0.7853981633974483,3.2,0.2781026706757517,0.7218973293242481,0.20849656060694552,0.31717613321969373,0.6828238667803063,0.2744289641241413,0.3213479439404139,0.6786520560595861,0.28160901449786696,-0.03907346254394206,-0.06593240351719579,-0.04324527326466221,-0.07311245389092144
