delta,bandwidth,omega_min,omega_max,beta,omega_q,theta,g,n_modes,n_cut,dw,detune_over_omega_q,tail_fraction,ordered_p00,ordered_coh,best_p00,best_coh,ed_p00,ed_coh,d_ed_ord_p00,d_ed_best_p00,d_ed_ord_coh,d_ed_best_coh
0.4,0.7999999999999998,1.6,2.4,2.48,2.0,1.5707963267948966,0.5,3,6,0.3999999999999999,0.0,0.6626272662068448,0.046887491493971444,3.5971370633753475e-18,0.06284855093596498,1.005115419394439e-17,0.05405454923484652,1.531995730697898e-17,0.007167057740875074,-0.008794001701118458,1.1722820243603634e-17,5.2688031130345904e-18
0.4,0.7999999999999998,1.6,2.4,3.4200000000000004,2.0,1.5707963267948966,0.5,3,6,0.3999999999999999,0.0,0.6626272662068448,0.04057076984801217,8.279001369335997e-18,0.14657060154158313,3.2606257421523486e-17,0.041705093788449,2.1469704922991924e-17,0.0011343239404368322,-0.10486550775313414,1.3190703553655927e-17,-1.1136552498531562e-17
0.4,0.7999999999999998,1.6,2.4,4.36,2.0,1.5707963267948966,0.5,3,6,0.3999999999999999,0.0,0.6626272662068448,0.042084148263924384,3.537983233155244e-19,0.27845907904294265,6.727561429900431e-17,0.03784274869473253,2.348169315570305e-17,-0.004241399569191853,-0.24061633034821012,2.3127894832387527e-17,-4.3793921143301264e-17
0.4,0.7999999999999998,1.6,2.4,5.3,2.0,1.5707963267948966,0.5,3,6,0.3999999999999999,0.0,0.6626272662068448,0.04557185651903377,8.681545642754408e-18,0.32325145839292047,7.978041610329729e-17,0.036599937124639145,2.412480868235931e-17,-0.008971919394394623,-0.2866515212682813,1.5443263039604903e-17,-5.565560742093797e-17
0.4,0.7999999999999998,1.6,2.4,6.24,2.0,1.5707963267948966,0.5,3,6,0.3999999999999999,0.0,0.6626272662068448,0.04948345070259856,6.620228038046287e-18,0.3162964833979278,7.846521913237472e-17,0.03619558729663512,2.4331665245072263e-17,-0.01328786340596344,-0.2801008961012927,1.7711437207025977e-17,-5.4133553887302454e-17
0.4,0.7999999999999998,1.6,2.4,7.18,2.0,1.5707963267948966,0.5,3,6,0.3999999999999999,0.0,0.6626272662068448,0.05344221615743915,3.083945181508485e-18,0.29607372019439737,7.353418025852586e-17,0.036063373678329465,2.4398738477381084e-17,-0.017378842479109688,-0.2600103465160679,2.1314793295872598e-17,-4.913544178114478e-17
0.4,0.7999999999999998,1.6,2.4,8.120000000000001,2.0,1.5707963267948966,0.5,3,6,0.3999999999999999,0.0,0.6626272662068448,0.05740414041821105,3.4544035945622448e-18,0.27383095435704796,6.802764349962687e-17,0.03602003208663007,2.4420611729605594e-17,-0.021384108331580977,-0.2378109222704179,2.096620813504335e-17,-4.360703177002128e-17
0.4,0.7999999999999998,1.6,2.4,9.06,2.0,1.5707963267948966,0.5,3,6,0.3999999999999999,0.0,0.6626272662068448,0.06134643503265152,1.7004399569352323e-18,0.2521146694792856,6.263669627114603e-17,0.03600580429038182,2.4427770123973637e-17,-0.0253406307422697,-0.21610886518890382,2.2727330167038405e-17,-3.820892614717239e-17
0.4,0.7999999999999998,1.6,2.4,10.0,2.0,1.5707963267948966,0.5,3,6,0.3999999999999999,0.0,0.6626272662068448,0.06820772415892183,1.4513716253443732e-17,0.23146973883424138,5.750888801884025e-17,0.036001130099693114,2.4430117710362232e-17,-0.03220659405922872,-0.19546860873454827,9.9164014569185e-18,-3.3078770308478016e-17
0.8,1.5999999999999999,1.2,2.8,0.6,2.0,1.5707963267948966,0.5,3,4,0.8,0.0,0.5918327134598556,0.26669466161906763,1.434960621054287e-17,0.2624759780771446,2.17006822204501e-18,0.2718231524147145,7.128621490891308e-18,0.005128490795646867,0.009347174337569875,-7.220984719651562e-18,4.9585532688462984e-18
0.8,1.5999999999999999,1.2,2.8,1.54,2.0,1.5707963267948966,0.5,3,4,0.8,0.0,0.5918327134598556,0.12607396433412238,1.2058597109170778e-17,0.12085767912875989,8.928898595292567e-18,0.15010094357718876,1.0378665832685505e-18,0.024026979243066376,0.02924326444842887,-1.1020730525902228e-17,-7.891032012024017e-18
