sweep,param_name,param,beta,theta,g,ordered_p00,ordered_p11,ordered_coh,best_p00,best_p11,best_coh,ed_p00,ed_p11,ed_coh,d_best_vs_ordered_p00,d_best_vs_ordered_coh,d_best_vs_ed_p00,d_best_vs_ed_coh,d_ordered_vs_ed_p00,d_ordered_vs_ed_coh
temperature,beta,2.7375000000000003,2.7375000000000003,1.5707963267948966,0.5,0.2505796811889632,0.7494203188110369,6.1028406423064904e-18,0.30202049955630744,0.6979795004436926,6.0925995706076e-17,0.16548873440807466,0.8345112655919251,6.515082118016978e-16,0.051440818367344265,5.482315506376951e-17,0.1365317651482328,-5.905822160956218e-16,0.08509094678088852,-6.454053711593914e-16
temperature,beta,3.1,3.1,1.5707963267948966,0.5,0.2468625061280459,0.7531374938719541,1.0172168019405068e-17,0.32545118298549847,0.6745488170145015,7.428006879865516e-17,0.16796796260455638,0.8320320373954435,7.3518435637184445e-16,0.07858867685745258,6.410790077925009e-17,0.1574832203809421,-6.609042875731893e-16,0.07889454352348951,-7.250121883524394e-16
temperature,beta,3.4625,3.4625,1.5707963267948966,0.5,0.243782921489384,0.756217078510616,1.238638624462716e-17,0.3425360935110029,0.6574639064889971,8.60738294032747e-17,0.17023721662729377,0.8297627833727059,8.191233777805216e-16,0.0987531720216189,7.368744315864754e-17,0.17229887688370912,-7.330495483772469e-16,0.07354570486209022,-8.067369915358945e-16
temperature,beta,3.825,3.825,1.5707963267948966,0.5,0.2412864627938645,0.7587135372061355,2.914835343473723e-17,0.35230717548078433,0.6476928245192157,9.545076611094629e-17,0.17222335342695902,0.8277766465730406,9.031337604414117e-16,0.11102071268691982,6.630241267620907e-17,0.1800838220538253,-8.076829943304654e-16,0.06906310936690549,-8.739854070066745e-16
temperature,beta,4.1875,4.1875,1.5707963267948966,0.5,0.2393421936978526,0.7606578063021474,5.104168019661475e-18,0.35566345564396273,0.6443365443560373,1.0224059610584197e-16,0.17392504633770386,0.8260749536622959,9.870430577244763e-16,0.11632126194611014,9.713642808618049e-17,0.18173840930625887,-8.848024616186344e-16,0.06541714736014873,-9.819388897048149e-16
temperature,beta,4.55,4.55,1.5707963267948966,0.5,0.23792526650956572,0.7620747334904342,8.784641482322575e-18,0.35420467906252306,0.6457953209374769,1.067202292091622e-16,0.175366541248789,0.8246334587512106,1.0707175866813645e-15,0.11627941255295735,9.793558772683963e-17,0.17883813781373406,-9.639973574722023e-16,0.06255872526077672,-1.061932945199042e-15
temperature,beta,4.9125,4.9125,1.5707963267948966,0.5,0.23701019418266311,0.7629898058173369,3.4846615266183284e-17,0.34948474126062734,0.6505152587393727,1.093401468415519e-16,0.17657942894703454,0.8234205710529652,1.154064062605474e-15,0.11247454707796423,7.449353157536861e-17,0.1729053123135928,-1.044723915763922e-15,0.06043076523562857,-1.1192174473392906e-15
temperature,beta,5.275,5.275,1.5707963267948966,0.5,0.2365687928169193,0.7634312071830807,3.078869939431184e-18,0.3427185320717375,0.6572814679282625,1.1054997966249302e-16,0.1775955050126255,0.8224044949873743,1.2370244191903604e-15,0.10614973925481822,1.0747110972306183e-16,0.16512302705911203,-1.1264744395278675e-15,0.05897328780429381,-1.2339455492509293e-15
temperature,beta,5.6375,5.6375,1.5707963267948966,0.5,0.23657011326326624,0.7634298867367338,1.1269651454814224e-17,0.33475189242902725,0.6652481075709727,1.107241581114804e-16,0.1784440885184245,0.8215559114815751,1.3195687526542715e-15,0.09818177916576101,9.945450665666617e-17,0.15630780391060276,-1.2088445945427911e-15,0.05812602474484174,-1.3082991011994572e-15
temperature,beta,6.0,6.0,1.5707963267948966,0.5,0.236981107836427,0.763018892163573,5.456907231702624e-18,0.32613321641818804,0.673866783581812,1.1014768467452276e-16,0.17915116546349638,0.8208488345365035,1.4016884401239287e-15,0.08915210858176104,1.0469077744282013e-16,0.14698205095469166,-1.291540755449406e-15,0.057829942372930626,-1.3962315328922261e-15
