key,status,error,timestamp,beta,theta,g,n_modes,n_cut,ordered_p00,ordered_coh,analytic_v12_p00,analytic_v12_coh,analytic_raw_p00,analytic_raw_coh,ed_p00,ed_coh,elapsed_s
9.87692308|3|4,ok,,2026-02-20 10:32:41,9.876923076923077,1.5707963267948966,0.5,3,4,0.1372586525968836,8.815521408774453e-18,0.23411170364757777,8.770081789980059e-17,1.0,3.7461099604552617e-16,0.20571258864346073,1.4783645789265816e-17,0.006165800004964694
10.90769231|3|4,ok,,2026-02-20 10:32:41,10.907692307692308,1.5707963267948966,0.5,3,4,0.2773849835654745,1.831070588082525e-17,0.21266693469721615,8.061964910720126e-17,1.0,3.7908878228888256e-16,0.20650033454922173,1.5907944442682e-17,0.006064100001822226
11.93846154|3|4,ok,,2026-02-20 10:32:41,11.938461538461539,1.5707963267948966,0.5,3,4,0.35763853842659304,5.382389204600089e-18,0.19269160919733164,7.372426124913352e-17,1.0,3.8260234362363717e-16,0.2070399026344907,1.6971175340795238e-17,0.006066800000553485
12.96923077|3|4,ok,,2026-02-20 10:32:41,12.969230769230771,1.5707963267948966,0.5,3,4,0.5,4.89424454820008e-34,0.17417710796848834,6.713168650161785e-17,0.999989783408255,3.85418046211834e-16,0.20740969463751546,1.7984433465112795e-17,0.005976400003419258
14.00000000|3|4,ok,,2026-02-20 10:32:41,14.0,1.5707963267948966,0.5,3,4,0.40272163092673524,1.7789683261767347e-18,0.15709817374634244,6.091070677931855e-17,1.0,3.877238374401448e-16,0.20766337207860033,1.8958445015401625e-17,0.006347100003040396
0.60000000|3|5,ok,,2026-02-20 10:32:41,0.6,1.5707963267948966,0.5,3,5,0.3289834567267669,8.156610498446434e-18,0.311532114333834,5.6034702799387626e-18,0.3628146670590665,9.192920631552487e-18,0.2806221690364307,1.2199260639574572e-17,0.021873599995160475
1.63076923|3|5,ok,,2026-02-20 10:32:41,1.6307692307692307,1.5707963267948966,0.5,3,5,0.2682899329197803,1.403340444965622e-17,0.24044519035801237,2.4885139145322142e-17,0.97124012970106,1.142374206512359e-16,0.2005209515602202,8.45011898072991e-18,0.022127599993837066
2.66153846|3|5,ok,,2026-02-20 10:32:41,2.661538461538462,1.5707963267948966,0.5,3,5,0.25144854926394866,1.4641222870092914e-17,0.2966037507833744,5.806010802476528e-17,1.0,1.980405826614873e-16,0.20649690549902913,7.735772043433433e-18,0.021312299999408424
3.69230769|3|5,ok,,2026-02-20 10:32:41,3.692307692307693,1.5707963267948966,0.5,3,5,0.24213482414738718,3.877449823331924e-18,0.3495480863455481,9.232230418945849e-17,1.0,2.6442446803553193e-16,0.21757195733450463,5.046059916936525e-18,0.021776000001409557
4.72307692|3|5,ok,,2026-02-20 10:32:41,4.723076923076923,1.5707963267948966,0.5,3,5,0.23742741918963525,1.574619778330733e-17,0.35227422689598586,1.0817420831567946e-16,1.0,3.0711847185682216e-16,0.2260312070550012,1.562899849384185e-18,0.021714299997256603
5.75384615|3|5,ok,,2026-02-20 10:32:41,5.753846153846154,1.5707963267948966,0.5,3,5,0.23665901907701614,6.974040805869295e-18,0.33203702151452463,1.1060959254574412e-16,0.9999999999944778,3.33131013245545e-16,0.2318464107921834,1.7862558724751868e-18,0.02181169999676058
6.78461538|3|5,ok,,2026-02-20 10:32:41,6.784615384615385,1.5707963267948966,0.5,3,5,0.23911044856660046,6.7883896928914895e-18,0.3066730557697036,1.072332464507517e-16,1.0,3.4966735605918195e-16,0.23570808015711717,4.568839929468176e-18,0.022633799999312032
7.81538462|3|5,ok,,2026-02-20 10:32:41,7.815384615384616,1.5707963267948966,0.5,3,5,0.2439769616788219,4.021467548710236e-18,0.2812808736180651,1.0149335694450267e-16,1.0,3.608258103504782e-16,0.23823113724024794,6.661212732033285e-18,0.021599799998512026
8.84615385|3|5,ok,,2026-02-20 10:32:41,8.846153846153847,1.5707963267948966,0.5,3,5,0.24916584326820096,7.256274840149223e-18,0.2570069925612697,9.477139992076694e-17,1.0,3.687502998060666e-16,0.2398663436014742,8.100493521459796e-18,0.021264399998472072
