window_name,window_family,case,n_modes,n_cut,bandwidth,omega_min,omega_max,detune_over_omega_q,tail_fraction,rmse_ed_vs_ordered_p00,rmse_ed_vs_cont_p00,rmse_ed_vs_disc_p00,rmse_ed_vs_ordered_coh,rmse_ed_vs_cont_coh,rmse_ed_vs_disc_coh,p00_at_beta2,p00_at_beta8
center_d1.20,centered,m4c4,4,4,2.1500000000000004,0.05,2.2,0.23333333333333317,0.6990292757659671,0.022568580319023944,0.060252834526596015,0.06981233419625565,6.315113579950459e-17,7.965186025350277e-18,7.48097025797069e-18,0.29297151212217043,0.2684542496901523
ratio_r5.0,ratio,m3c5,3,5,4.95,0.05,5.0,0.95,0.2872974951836458,0.03794161805796195,0.04308675125790815,0.07069148555012149,6.940052553183767e-17,2.205527455056986e-17,1.635568565661671e-17,0.2956623402844075,0.30341071133973957
ratio_r5.0,ratio,m4c4,4,4,4.95,0.05,5.0,0.7000000000000002,0.2872974951836458,0.04056035501566308,0.05580936701663885,0.0728472775905439,9.64342209743496e-17,5.2963840387163855e-17,4.1280579322884246e-17,0.3015064706189731,0.2846434504349436
ratio_r2.0,ratio,m4c4,4,4,1.95,0.05,2.0,0.29999999999999993,0.7357588823428847,0.02163935657406942,0.06357265493073547,0.0730185213575485,1.0884182242336793e-17,5.962538800413733e-17,6.515230704136014e-17,0.28826879771485925,0.2623366569345563
ratio_r6.0,ratio,m3c5,3,5,5.95,0.05,6.0,0.95,0.19914827347145578,0.041717832102323826,0.04370096523817057,0.07575661215073173,2.2145423074037725e-16,1.7243505818216781e-16,1.4525625703208646e-16,0.2912567981611635,0.3047583660535649
ratio_r3.0,ratio,m3c4,3,4,2.95,0.05,3.0,0.5250000000000001,0.5578254003710745,0.03528427154684777,0.06056578762006671,0.07895570539730701,2.785597201574193e-17,4.4333193345531356e-17,5.651624930725509e-17,0.2934146222004969,0.27371492009772785
center_d1.20,centered,m3c4,3,4,2.1500000000000004,0.05,2.2,0.12500000000000022,0.6990292757659671,0.027255234030763322,0.06413720262668417,0.0798183539376831,6.367964950097285e-17,3.329085467309247e-17,3.480700106006557e-17,0.2880199454717756,0.2637290357498393
ratio_r6.0,ratio,m4c4,4,4,5.95,0.05,6.0,0.95,0.19914827347145578,0.04712040220203943,0.059425059184870344,0.07985516677425937,1.3446785707968156e-16,8.418700778477652e-17,6.471929028096219e-17,0.2961009468428121,0.28226995880775224
ratio_r2.0,ratio,m3c4,3,4,1.95,0.05,2.0,0.02499999999999991,0.7357588823428847,0.025261471775126203,0.06647694841094412,0.0817141848568307,8.316852083339366e-17,2.5946586888766217e-17,1.7250708983959845e-17,0.2846192292117204,0.25879943402768546
center_d1.20,centered,m2c5,2,5,2.1500000000000004,0.05,2.2,0.95,0.6990292757659671,0.02783531931889077,0.049714101070188914,0.08201086941150917,4.317050857729859e-16,3.725065911449887e-16,3.5233146249104547e-16,0.2816590146074449,0.28489565624652535
ratio_r2.0,ratio,m2c5,2,5,1.95,0.05,2.0,0.95,0.7357588823428847,0.025680108997033286,0.05162993795177416,0.08263191283703085,1.7005723686487583e-16,1.136767320799959e-16,9.571602519444652e-17,0.28024733678688046,0.2803402896341426
ratio_r3.0,ratio,m2c5,2,5,2.95,0.05,3.0,0.95,0.5578254003710745,0.03489392639338363,0.045371103580671014,0.08293277307623277,4.669957708306391e-16,4.0929277646655675e-16,3.827067823443303e-16,0.2828332946667305,0.29643419143503197
ratio_r6.0,ratio,m2c5,2,5,5.95,0.05,6.0,0.95,0.19914827347145578,0.03918087512100741,0.03201256824423163,0.0834021500910534,1.2235246935087545e-15,1.1730455009735735e-15,1.136185455567685e-15,0.2894693674244032,0.32064274485421684
ratio_r4.0,ratio,m3c4,3,4,3.95,0.05,4.0,0.95,0.4060058497098381,0.04470051961448326,0.06208883680172209,0.08476827607923394,1.3510486983170316e-16,7.817177996986936e-17,5.879675973779663e-17,0.29072805470415225,0.2763175943802231
ratio_r4.0,ratio,m2c5,2,5,3.95,0.05,4.0,0.95,0.4060058497098381,0.039390068385266784,0.04178853555270018,0.08513452582313774,1.1437460055805678e-16,5.73371465602553e-17,2.5512961405393926e-17,0.28244138514742306,0.30521841572265745
ratio_r5.0,ratio,m2c5,2,5,4.95,0.05,5.0,0.95,0.2872974951836458,0.040235040561854084,0.03734806804760124,0.08530116692045404,1.1507240667680402e-15,1.097351574349936e-15,1.0621700496147575e-15,0.28454040157976684,0.31290849105715096
ratio_r5.0,ratio,m3c4,3,4,4.95,0.05,5.0,0.95,0.2872974951836458,0.052529460135979214,0.06525811892052583,0.09232309510789771,9.538383857884086e-18,5.4864656518699206e-17,7.750479910054414e-17,0.2845199782260248,0.2758048204938965
ratio_r6.0,ratio,m3c4,3,4,5.95,0.05,6.0,0.95,0.19914827347145578,0.058364937195594796,0.06799236430135056,0.09917942725375993,2.83431816134261e-17,4.552991929655248e-17,6.973507970000072e-17,0.278033097189924,0.27512914993857546
ratio_r2.0,ratio,m2c4,2,4,1.95,0.05,2.0,0.95,0.7357588823428847,0.03566795158851961,0.07258872083531019,0.10397669927342888,5.942760595429901e-17,7.765316446263014e-18,1.7718645236154e-17,0.2702657161772586,0.25305250106585947
center_d1.20,centered,m2c4,2,4,2.1500000000000004,0.05,2.2,0.95,0.6990292757659671,0.039282271866525074,0.07158741881330857,0.1040435996753945,1.66344906234159e-16,1.0714568100933662e-16,8.697841981741719e-17,0.2709902461602476,0.2567778534561532
center_d0.50,centered,m3c6,3,6,1.0,0.5,1.5,0.0,0.8266414672967757,0.03362823416860903,0.09656284858885972,0.10463372213728607,5.380990688386749e-17,5.763594941854338e-18,4.626882875950244e-18,0.2718321727744741,0.19401685212226186
