lambda,d_exact_tau,d_exact_weak,d_exact_hmf,d_exact_hmf_ordered,d_hmf_vs_ordered,d_exact_us,d_weak_tau,d_us_projector_vs_closed,alpha0,delta_x0,delta_y0,delta_z0,exact_bloch_x,exact_bloch_y,exact_bloch_z,exact_coherence_hs,tau_bloch_x,tau_bloch_y,tau_bloch_z,tau_coherence_hs,weak_bloch_x,weak_bloch_y,weak_bloch_z,weak_coherence_hs,hmf_bloch_x,hmf_bloch_y,hmf_bloch_z,hmf_coherence_hs,hmf_ordered_bloch_x,hmf_ordered_bloch_y,hmf_ordered_bloch_z,hmf_ordered_coherence_hs,us_bloch_x,us_bloch_y,us_bloch_z,us_coherence_hs
0.3,0.0631067690981306,0.5162630250810923,0.22647734008378279,0.01870229970118977,0.20777731343655617,0.04931557831653151,0.5727799861510652,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.1249563744328066,0.0,-0.8873785684302288,0.1249563744328066,0.0,0.0,-0.9051482536448666,0.0,0.959983453418038,0.0,-0.28005672490332695,0.959983453418038,0.5728232106478655,0.0,-0.8196789428447404,0.5728232106478655,0.16185321647034406,0.0,-0.8812363290902566,0.16185321647034406,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.31,0.06469896315965726,0.522193419622601,0.22894325017975187,0.018248866814478314,0.21069495405775016,0.04772458420781706,0.5798108877053004,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.128103837544012,0.0,-0.8868936612846925,0.128103837544012,0.0,0.0,-0.9051482536448666,0.0,0.9650269176804979,0.0,-0.26215081184706934,0.9650269176804979,0.580224325140622,0.0,-0.8144567100313617,0.580224325140622,0.16409712490352085,0.0,-0.8808465276574198,0.16409712490352085,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.32,0.06620983745255024,0.5275600104391049,0.23094385420685992,0.017789310924097187,0.21315456395573082,0.046214844861990095,0.5862120014600852,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.13109005460233192,0.0,-0.8864301371175518,0.13109005460233192,0.0,0.0,-0.9051482536448666,0.0,0.9693563535603146,0.0,-0.24565882807717315,0.9693563535603146,0.5865907351449385,0.0,-0.8098835159713529,0.5865907351449385,0.1661680182564177,0.0,-0.8804824654302903,0.1661680182564177,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.33,0.06764292522661206,0.5324268632670773,0.23252913344116927,0.01732902512879575,0.21520022784102777,0.04478282592525916,0.5920518127761039,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.1339220494437658,0.0,-0.885987199247113,0.1339220494437658,0.0,0.0,-0.9051482536448666,0.0,0.9730829726852764,0.0,-0.23045504609356127,0.9730829726852764,0.5920347282417362,0.0,-0.8059124521657014,0.5920347282417362,0.16808359054480942,0.0,-0.8801417260190977,0.16808359054480942,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.34,0.06900185375842945,0.5368501458185877,0.23374778100914664,0.016872401069469974,0.2168759128625793,0.04342489959529255,0.5973906491204715,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.13660703074908864,0.0,-0.8855640141059853,0.13660703074908864,0.0,0.0,-0.9051482536448666,0.0,0.976299542091273,0.0,-0.21642366809656194,0.976299542091273,0.596662646488052,0.0,-0.8024921721025533,0.596662646488052,0.16985973501977955,0.0,-0.8798221215536833,0.16985973501977955,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.35000000000000003,0.07029028350831518,0.5408790562124262,0.23464631566517608,0.016422951188540178,0.21822441397894812,0.04213740541461446,0.6022816161965407,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.13915227143829778,0.0,-0.8851597275291272,0.13915227143829778,0.0,0.0,-0.9051482536448666,0.0,0.9790835056481823,0.0,-0.20345881393458065,0.9790835056481823,0.6005738288752724,0.0,-0.7995693066083107,0.6005738288752724,0.17151066641139676,0.0,-0.8795216801960858,0.17151066641139676,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.36,0.0715118589075957,0.5445566810008102,0.23526843543117598,0.015983426121877975,0.21928655397952107,0.04091669943107129,0.6067714648036775,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.14156501114215642,0.0,-0.8847734781123452,0.14156501114215642,0.0,0.0,-0.9051482536448666,0.0,0.9814996033751207,0.0,-0.19146417047186876,0.9814996033751207,0.603859969113865,0.0,-0.7970904200288709,0.603859969113865,0.17304905647395785,0.0,-0.8792386310576202,0.17304905647395785,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.37,0.07267016923955855,0.5479207704985495,0.23565457812130933,0.015555924193615163,0.22010060687631167,0.03975919326337487,0.6109013757351078,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.14385237870007286,0.0,-0.8844044080140502,0.14385237870007286,0.0,0.0,-0.9051482536448666,0.0,0.9836020518062489,0.0,-0.18035244296248742,0.9836020518062489,0.6066048007425836,0.0,-0.7950035318890416,0.6066048007425836,0.17448617379857712,0.0,-0.8789713878656554,0.17448617379857712,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.38,0.0737687181836352,0.5510044287111726,0.23584165717089645,0.015141991315410035,0.22070191333322542,0.0386613845033345,0.6147076597590855,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.14602133184470512,0.0,-0.8840516715490656,0.14602133184470512,0.0,0.0,-0.9051482536448666,0.0,0.9854363494107472,0.0,-0.17004470371058272,0.9854363494107472,0.6088840374250877,0.0,-0.7932592444900497,0.6088840374250877,0.1758320217068055,0.0,-0.878718532330043,0.1758320217068055,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.39,0.07481090071718324,0.553836720747265,0.23586294322969403,0.014742710551613854,0.2211226579251726,0.03761987976145097,0.6182223753948355,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.1480786114815781,0.0,-0.8837144418944374,0.1480786114815781,0.0,0.0,-0.9051482536448666,0.0,0.9870407666594595,0.0,-0.1604697010413702,0.9870407666594595,0.6107655098496422,0.0,-0.7918115255400786,0.6107655098496422,0.17709547018708754,0.0,-0.8784787978558145,0.17709547018708754,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
